# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles:P'
# Event count (approx.): 10987049281
#
# Overhead  Command    Shared Object      Symbol                              
# ........  .........  .................  ....................................
#
     0.01%  main_perf  libc.so.6          [.] __strtoll_internal
     0.01%  main_perf  [kernel.kallsyms]  [k] __mod_node_page_state
     0.01%  main_perf  [kernel.kallsyms]  [k] __alloc_pages
     0.01%  main_perf  [kernel.kallsyms]  [k] __queue_work.part.0
     0.01%  main_perf  [kernel.kallsyms]  [k] asm_exc_page_fault
     0.01%  main_perf  [kernel.kallsyms]  [k] folio_add_lru_vma
     0.01%  main_perf  [kernel.kallsyms]  [k] folio_add_new_anon_rmap
     0.01%  main_perf  [kernel.kallsyms]  [k] get_page_from_freelist
     0.01%  main_perf  [kernel.kallsyms]  [k] update_sg_lb_stats
     0.01%  main_perf  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.01%  main_perf  [kernel.kallsyms]  [k] lru_add_fn
     0.01%  main_perf  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.01%  main_perf  [kernel.kallsyms]  [k] pfn_pte
     0.01%  main_perf  [kernel.kallsyms]  [k] lru_gen_add_folio
     0.01%  main_perf  [kernel.kallsyms]  [k] __count_memcg_events
     0.01%  main_perf  [kernel.kallsyms]  [k] try_charge_memcg
     0.01%  main_perf  [kernel.kallsyms]  [k] __rcu_read_unlock
     0.01%  main_perf  [kernel.kallsyms]  [k] __rcu_read_lock
     0.01%  main_perf  [kernel.kallsyms]  [k] percpu_counter_add_batch
     0.01%  main_perf  [kernel.kallsyms]  [k] kick_pool
     0.01%  main_perf  [kernel.kallsyms]  [k] record_times
     0.01%  main_perf  [kernel.kallsyms]  [k] native_send_call_func_single_ipi
     0.01%  main_perf  [kernel.kallsyms]  [k] account_system_index_time
     0.01%  main_perf  [kernel.kallsyms]  [k] available_idle_cpu
     0.01%  main_perf  [kernel.kallsyms]  [k] tty_ldisc_deref
     0.01%  main_perf  [kernel.kallsyms]  [k] __tty_buffer_request_room
     0.01%  main_perf  [kernel.kallsyms]  [k] ___slab_alloc
     0.01%  main_perf  [kernel.kallsyms]  [k] entry_SYSRETQ_unsafe_stack
     0.01%  main_perf  [kernel.kallsyms]  [k] ksys_write
     0.01%  main_perf  [kernel.kallsyms]  [k] tty_write
     0.01%  main_perf  [kernel.kallsyms]  [k] __check_heap_object
     0.01%  main_perf  [kernel.kallsyms]  [k] x64_sys_call
     0.01%  main_perf  [kernel.kallsyms]  [k] file_tty_write.isra.0
     0.00%  main_perf  [kernel.kallsyms]  [k] flush_signal_handlers
     0.00%  main_perf  [kernel.kallsyms]  [k] wait_woken
     0.00%  main_perf  [kernel.kallsyms]  [k] nmi_handle
     0.00%  perf-exec  [kernel.kallsyms]  [k] sched_clock_noinstr
     0.00%  main_perf  [kernel.kallsyms]  [k] sched_clock
     0.00%  perf-exec  [kernel.kallsyms]  [k] native_write_msr
     0.00%  main_perf  [unknown]          [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
