# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles:P'
# Event count (approx.): 1305366482
#
# Overhead  Command          Shared Object                     Symbol                                                                                                                                                                                                                                                              
# ........  ...............  ................................  ....................................................................................................................................................................................................................................................................
#
     0.11%  swapper          [kernel.kallsyms]                 [k] enqueue_task_fair
     0.11%  Isolated Web Co  libxul.so                         [.] 0x000000000337678c
     0.11%  tracker-extract  [kernel.kallsyms]                 [k] vma_interval_tree_insert
     0.11%  StreamTrans #24  libc.so.6                         [.] _IO_sputbackc
     0.10%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a818
     0.10%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a3b0
     0.10%  swapper          [kernel.kallsyms]                 [k] intel_gpio_irq_mask_unmask
     0.10%  tracker-extract  [kernel.kallsyms]                 [k] memset_orig
     0.10%  Xorg             [unknown]                         [.] 0000000000000000
     0.10%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a5fa
     0.10%  gnome-shell      [kernel.kallsyms]                 [k] __raw_spin_lock_irqsave
     0.10%  gdbus            [kernel.kallsyms]                 [k] kmem_cache_free
     0.10%  swapper          [kernel.kallsyms]                 [k] reweight_entity
     0.10%  swapper          [kernel.kallsyms]                 [k] ct_kernel_exit_state
     0.10%  swapper          [kernel.kallsyms]                 [k] cpuidle_enter
     0.10%  swapper          [kernel.kallsyms]                 [k] rb_erase
     0.10%  swapper          [kernel.kallsyms]                 [k] pm_qos_read_value
     0.10%  swapper          [kernel.kallsyms]                 [k] tick_nohz_idle_got_tick
     0.10%  swapper          [kernel.kallsyms]                 [k] cpuidle_not_available
     0.10%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x000000000055c626
     0.10%  swapper          [snd_hda_codec]                   [k] 0x000000000000f0ea
     0.10%  swapper          [kernel.kallsyms]                 [k] ct_kernel_exit.isra.0
     0.09%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a639
     0.09%  swapper          [kernel.kallsyms]                 [k] native_apic_msr_eoi
     0.09%  InputThread      [unknown]                         [.] 0000000000000000
     0.09%  swapper          [kernel.kallsyms]                 [k] error_entry
     0.09%  swapper          [kernel.kallsyms]                 [k] timer_clear_idle
     0.09%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x00000000002594ce
     0.09%  swapper          [kernel.kallsyms]                 [k] prepare_task_switch
     0.09%  swapper          [kernel.kallsyms]                 [k] get_cpu_device
     0.09%  swapper          [kernel.kallsyms]                 [k] get_nohz_timer_target
     0.09%  gnome-shell      libc.so.6                         [.] argz_replace
     0.09%  swapper          [kernel.kallsyms]                 [k] load_balance
     0.09%  swapper          [kernel.kallsyms]                 [k] rcu_needs_cpu
     0.09%  swapper          [kernel.kallsyms]                 [k] check_tsc_unstable
     0.09%  swapper          [kernel.kallsyms]                 [k] call_cpuidle
     0.09%  Xorg             [kernel.kallsyms]                 [k] __memcg_slab_post_alloc_hook
     0.09%  gnome-shell      [kernel.kallsyms]                 [k] fput
     0.09%  InputThread      [kernel.kallsyms]                 [k] _copy_from_iter
     0.09%  swapper          [kernel.kallsyms]                 [k] local_clock_noinstr
     0.08%  swapper          [kernel.kallsyms]                 [k] tick_irq_enter
     0.08%  irq/133-ELAN050  [kernel.kallsyms]                 [k] __raw_spin_lock_irqsave
     0.08%  tracker-extract  [kernel.kallsyms]                 [k] xas_load
     0.08%  swapper          [kernel.kallsyms]                 [k] tick_program_event
     0.08%  swapper          [kernel.kallsyms]                 [k] ct_nmi_enter
     0.08%  swapper          [kernel.kallsyms]                 [k] calc_load_nohz_start
     0.08%  swapper          [kernel.kallsyms]                 [k] handle_fasteoi_irq
     0.08%  irq/133-ELAN050  [kernel.kallsyms]                 [k] psi_group_change
     0.08%  swapper          [kernel.kallsyms]                 [k] pick_next_task
     0.08%  swapper          [kernel.kallsyms]                 [k] mm_cid_get
     0.08%  StreamTrans #24  libc.so.6                         [.] 0x0000000000062fce
     0.08%  swapper          [kernel.kallsyms]                 [k] xhci_irq
     0.08%  swapper          [kernel.kallsyms]                 [k] calc_load_nohz_stop
     0.08%  swapper          [kernel.kallsyms]                 [k] __usb_hcd_giveback_urb
     0.08%  firefox          libc.so.6                         [.] pthread_mutex_lock
     0.07%  swapper          [kernel.kallsyms]                 [k] account_idle_ticks
     0.07%  swapper          [kernel.kallsyms]                 [k] __flush_smp_call_function_queue
     0.07%  gnome-shell      libglib-2.0.so.0.8000.0           [.] g_source_ref
     0.07%  Xorg             libc.so.6                         [.] pathconf
     0.07%  swapper          [kernel.kallsyms]                 [k] rcu_note_context_switch
     0.07%  gnome-shell      [kernel.kallsyms]                 [k] clear_bhb_loop
     0.07%  gnome-terminal-  [kernel.kallsyms]                 [k] do_poll.constprop.0
     0.07%  swapper          [kernel.kallsyms]                 [k] __hrtimer_run_queues
     0.07%  Xorg             [kernel.kallsyms]                 [k] fput
